#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-06-28T03:45:36 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ60d9427d38cc83	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/AJ/153/208/table1
#-nav=cat:J/AJ/153/208&tab:{J/AJ/153/208/table1}&key:source=J/AJ/153/208/table1&HTTPPRM:&&-ref=VIZ60d9427d38cc83&-out.max=unlimited&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=Name&Name=HD34411&-out=BJD&-out=RV&-out=e_RV&-out=S&-out=H&-out=Count&-out=Exp&-out=Nrv&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/153/208/table1
#-source=J/AJ/153/208/table1
#-out=Name
#Name=HD34411
#-out=BJD
#-out=RV
#-out=e_RV
#-out=S
#-out=H
#-out=Count
#-out=Exp
#-out=Nrv
#

#RESOURCE=yCat_51530208
#Name: J/AJ/153/208
#Title: LCES HIRES/Keck radial velocity Exoplanet Survey (Butler+, 2017)
#Table	J_AJ_153_208_table1:
#Name: J/AJ/153/208/table1
#Title: Radial velocities and chromospheric activity indices of all program stars (corrected velocities in Tal-Or et al, 2019, Cat. J/MNRAS/484/L8)
#Column	Name	(a14)	Target identifier	[ucd=meta.id;meta.main]
#Column	BJD	(F13.5)	Barycentric Julian Date	[ucd=time.epoch]
#Column	RV	(F9.2)	[-39874.3/42363.6] Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F6.2)	[0.01/252.9] 1{sigma} uncertainty in RV	[ucd=stat.error]
#Column	S	(F7.4)	[-5.5/68.9] Chromosperic activity index S-index (1)	[ucd=spect.index]
#Column	H	(F8.5)	[-1/0.11]? Chromosperic activity index H-index (2)	[ucd=spect.index]
#Column	Count	(I6)	[67/616935] Median photons per pixel	[ucd=phot.count;arith.ratio]
#Column	Exp	(I4)	[-1/2551] Exposure time	[ucd=time.duration;obs.exposure]
#Column	Nrv	(I3)	Number of radial velocity measurements (table1) [NULL integer written as an empty string]	[ucd=meta.number]
Name	BJD	RV	e_RV	S	H	Count	Exp	Nrv
 	d	m/s	m/s	 	 	 	s	
--------------	-------------	---------	------	-------	--------	------	----	---
HD34411       	2451898.01227	    -5.29	  1.29	 0.1496	-1.00000	 75333	  13	183
HD34411       	2452129.13843	    -1.05	  1.28	 0.1322	-1.00000	 89375	  11	183
HD34411       	2452134.13790	    -1.13	  1.35	 0.1401	-1.00000	 99107	   9	183
HD34411       	2452242.97914	    -3.56	  1.41	 0.1335	-1.00000	 95858	  10	183
HD34411       	2452536.13911	    -0.95	  1.30	 0.1346	-1.00000	101422	   8	183
HD34411       	2452602.02760	     1.00	  1.35	 0.1394	-1.00000	106814	  12	183
HD34411       	2452711.75859	    -4.67	  1.70	 0.1177	-1.00000	 87330	   8	183
HD34411       	2452712.79734	     0.11	  1.60	 0.1349	-1.00000	 98563	   9	183
HD34411       	2452899.08757	     1.28	  1.43	 0.1247	-1.00000	104464	   9	183
HD34411       	2452987.84847	    -0.44	  1.46	 0.1282	-1.00000	120896	 242	183
HD34411       	2453302.05936	     6.25	  1.47	 0.1267	 0.03027	107557	  10	183
HD34411       	2453339.02252	     0.00	  1.36	 0.1398	 0.03048	 93876	 196	183
HD34411       	2453339.02443	     1.35	  1.18	 0.1376	 0.03036	 96365	  46	183
HD34411       	2453339.02532	     3.64	  1.34	 0.1390	 0.03038	 98006	  21	183
HD34411       	2453339.02627	     1.28	  1.22	 0.1405	 0.03039	 93151	  48	183
HD34411       	2453368.88412	     2.75	  1.23	 0.1393	 0.03044	 95312	  12	183
HD34411       	2453368.88478	     4.49	  1.27	 0.1385	 0.03047	 91046	  11	183
HD34411       	2453368.88543	     0.57	  1.32	 0.1375	 0.03049	 97652	  13	183
HD34411       	2453425.85508	     0.69	  1.31	 0.1409	 0.03048	 92942	  26	183
HD34411       	2453425.85596	    -0.76	  1.36	 0.1412	 0.03048	 86777	  19	183
HD34411       	2453425.85677	    -4.20	  1.39	 0.1396	 0.03049	 95422	  18	183
HD34411       	2453692.98530	    -2.45	  1.18	 0.1278	 0.03046	109081	  14	183
HD34411       	2453692.98631	    -1.66	  1.01	 0.1330	 0.03044	110423	  12	183
HD34411       	2453692.98710	    -0.81	  1.09	 0.1316	 0.03041	103011	  11	183
HD34411       	2453693.08641	     0.99	  1.20	 0.1320	 0.03049	104567	   9	183
HD34411       	2453693.08770	     2.42	  1.24	 0.1323	 0.03045	109265	   9	183
HD34411       	2453693.08839	     1.63	  1.12	 0.1315	 0.03041	106023	   9	183
HD34411       	2453694.06093	    -0.54	  1.18	 0.1340	 0.03035	 97909	   9	183
HD34411       	2453694.06176	     0.47	  1.06	 0.1317	 0.03039	108035	  10	183
HD34411       	2453694.06242	     0.86	  1.06	 0.1309	 0.03043	113750	  10	183
HD34411       	2453694.92001	    -3.29	  1.37	 0.1359	 0.03044	 33745	   3	183
HD34411       	2453694.92054	    -2.43	  1.20	 0.1334	 0.03030	 40057	   3	183
HD34411       	2453694.92109	    -0.43	  1.42	 0.1336	 0.03042	 34995	   3	183
HD34411       	2453695.00403	    -4.88	  1.14	 0.1342	 0.03049	110151	  10	183
HD34411       	2453695.00464	    -4.04	  1.01	 0.1355	 0.03050	105941	  10	183
HD34411       	2453695.00527	    -4.61	  1.25	 0.1312	 0.03043	102880	  10	183
HD34411       	2453695.96125	    -1.69	  1.15	 0.1330	 0.03042	107144	   9	183
HD34411       	2453695.96186	    -5.03	  1.34	 0.1411	 0.03039	104237	   9	183
HD34411       	2453695.96245	    -4.82	  1.16	 0.1373	 0.03040	104271	   9	183
HD34411       	2453697.00102	    -2.47	  1.42	 0.1354	 0.03036	 38819	   3	183
HD34411       	2453697.00156	    -6.87	  1.35	 0.1335	 0.03030	 37861	   3	183
HD34411       	2453697.00209	    -4.39	  1.54	 0.1317	 0.03036	 30948	   2	183
HD34411       	2453697.00426	    -4.64	  0.92	 0.1333	 0.03044	112667	  10	183
HD34411       	2453697.00487	    -0.74	  1.22	 0.1322	 0.03040	104337	   9	183
HD34411       	2453697.00561	    -4.07	  1.31	 0.1334	 0.03046	100685	   9	183
HD34411       	2453724.86480	    -2.02	  1.10	 0.1321	 0.03047	104629	   9	183
HD34411       	2453724.86542	     1.78	  1.09	 0.1333	 0.03044	101221	   9	183
HD34411       	2453724.86604	    -0.42	  1.10	 0.1333	 0.03045	110149	  10	183
HD34411       	2453724.86668	     3.02	  1.27	 0.1320	 0.03041	104943	  11	183
HD34411       	2453724.86733	     3.35	  1.21	 0.1308	 0.03043	 98668	  10	183
HD34411       	2454084.90032	     1.88	  1.46	 0.1468	 0.03033	 70189	  26	183
HD34411       	2454084.90116	     3.65	  1.26	 0.1444	 0.03035	 72179	  29	183
HD34411       	2454084.90193	    -0.83	  1.43	 0.1455	 0.03031	 73085	  22	183
HD34411       	2454138.97063	    -0.85	  1.32	 0.1427	 0.03031	 70394	   9	183
HD34411       	2454138.97138	     2.84	  1.27	 0.1408	 0.03020	 71139	   9	183
HD34411       	2454138.97196	     0.00	  1.25	 0.1424	 0.03028	 71536	   9	183
HD34411       	2454336.14477	    -2.65	  1.29	 0.1377	 0.03026	 80976	   8	183
HD34411       	2454399.04579	    -0.02	  1.48	 0.1374	 0.03025	 72956	   0	183
HD34411       	2454428.00287	     4.77	  1.41	 0.1366	 0.03024	 77098	   0	183
HD34411       	2454428.00352	     2.71	  1.51	 0.1375	 0.03022	 72216	   0	183
HD34411       	2454428.00416	     1.75	  1.42	 0.1319	 0.03025	 70484	   0	183
HD34411       	2454428.89251	    -0.58	  1.42	 0.1395	 0.03023	 70922	   0	183
HD34411       	2454428.89321	     4.82	  1.51	 0.1454	 0.03017	 72142	   0	183
HD34411       	2454428.89389	     2.73	  1.50	 0.1425	 0.03017	 74128	   0	183
HD34411       	2454705.09997	     1.36	  1.17	 0.1389	 0.03024	 74433	  10	183
HD34411       	2454718.09948	    -2.05	  1.37	 0.1374	 0.03020	 53642	   7	183
HD34411       	2454719.10716	     0.37	  1.26	 0.1315	 0.03029	 50657	   5	183
HD34411       	2454722.13389	     3.24	  1.38	 0.1365	 0.03025	 46860	   8	183
HD34411       	2454723.14531	     7.94	  1.37	 0.1409	 0.03029	 54561	   6	183
HD34411       	2454724.14721	     1.38	  1.30	 0.1340	 0.03024	 54953	   7	183
HD34411       	2454725.09760	     3.23	  1.30	 0.1357	 0.03025	 48213	   5	183
